time,Th,Tc,T1,T2,T3,T4,pc,ph,P
0,26.5,26.8,22.7,25.3,25.0,17.5,3.5,6.6,116
2,28.1,24.0,25.3,34.1,33.5,12.6,3.6,7.5,116
4,31.5,21.9,24.7,37.1,31.7,13.2,3.7,7.9,116
6,34.4,19.1,22.1,40.5,35.3,13.3,3.6,8.6,111
8,37.4,16.6,17.9,43.5,36.8,12.5,3.4,9.2,115
10,39.6,14.7,14.0,45.2,38.3,10.3,3.2,9.9,109
12,41.7,12.9,12.7,46.9,40.1,8.6,2.8,10.4,111
14,43.5,11.0,12.5,48.7,41.8,7.3,2.7,10.8,111
16,45.1,9.5,10.4,50.2,43.0,6.0,2.6,11.4,110
18,46.4,8.1,9.7,51.8,44.3,5.0,2.4,11.6,110
20,47.7,6.7,9.7,53.0,45.1,4.1,2.3,12.0,110
22,48.8,5.6,9.6,54.1,46.1,3.6,2.2,12.2,107
24,49.9,4.7,9.4,55.1,47.0,2.8,2.1,12.8,107
26,50.9,3.7,7.1,56.1,48.1,2.5,2.0,13.0,103
