mass8_42
t	x	y
11.439	-109.013	-92.855
11.503	-104.041	-82.713
11.583	-98.999	-71.987
11.647	-94.019	-61.143
11.711	-89.976	-51.669
11.775	-85.05	-39.837
11.839	-80.938	-29.886
11.919	-76.141	-17.648
11.983	-72.119	-6.694
12.047	-68.046	4.183
12.111	-64.043	15.271
12.175	-60.022	26.885
12.239	-56.107	38.355
12.319	-52.149	50.45
12.383	-48.932	60.144
12.447	-45.006	72.732
12.511	-41.186	85.389
12.575	-38.006	96.31
12.655	-36.662	103.867
12.719	-40.079	102.331
12.783	-44.018	99.878
12.847	-48.13	97.56
12.911	-51.952	95.603
12.991	-49.368	98.61
13.055	-42.633	103.386
